Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,ExperienceRatio,IncomePerYearExp,TenureSatisfaction
27,0,Travel_Rarely,1377,Sales,2,Life Sciences,4,74,3,Sales Executive,3,Single,4478,5242,Yes,0,5,3,3,4,0.8,746.3333333333334,12
31,0,Travel_Rarely,691,Sales,7,Marketing,4,73,3,Sales Executive,4,Divorced,7547,7143,No,3,13,3,3,7,0.5384615384615384,539.0714285714286,28
32,0,Travel_Rarely,1018,Research & Development,2,Medical,1,74,4,Research Scientist,4,Single,5055,10557,No,0,10,0,2,7,0.7,459.54545454545456,28
28,1,Travel_Rarely,1157,Research & Development,2,Medical,1,84,1,Research Scientist,4,Married,3464,24737,Yes,0,5,4,2,2,0.4,577.3333333333334,8
30,0,Travel_Rarely,1275,Research & Development,28,Medical,4,64,3,Research Scientist,4,Married,5775,11934,No,2,11,2,3,8,0.7272727272727273,481.25,32
31,0,Travel_Frequently,798,Research & Development,7,Life Sciences,3,48,2,Manufacturing Director,3,Married,8943,14034,No,1,10,2,3,9,0.9,813.0,27
39,0,Travel_Frequently,672,Research & Development,7,Medical,3,54,2,Manager,4,Married,19272,21141,No,1,21,2,3,9,0.42857142857142855,876.0,36
39,1,Travel_Rarely,1162,Sales,3,Medical,4,41,3,Sales Executive,3,Married,5238,17778,Yes,0,12,3,2,0,0.0,402.9230769230769,0
33,0,Travel_Frequently,508,Sales,10,Marketing,2,46,2,Sales Executive,4,Single,4682,4317,No,0,9,6,2,7,0.7777777777777778,468.2,28
47,0,Travel_Rarely,1482,Research & Development,5,Life Sciences,4,42,3,Research Director,3,Married,18300,16375,No,1,21,2,3,2,0.09523809523809523,831.8181818181819,6
43,0,Travel_Frequently,559,Research & Development,10,Life Sciences,3,82,2,Laboratory Technician,3,Divorced,5257,6227,No,1,9,3,4,7,0.7777777777777778,525.7,21
27,0,Non-Travel,210,Sales,1,Marketing,3,73,3,Sales Executive,2,Married,6349,22107,Yes,1,6,0,3,4,0.6666666666666666,907.0,8
54,0,Travel_Frequently,928,Research & Development,20,Life Sciences,4,31,3,Research Scientist,3,Single,4869,16885,No,0,20,4,2,3,0.15,231.85714285714286,9
43,0,Travel_Rarely,1001,Research & Development,7,Life Sciences,3,43,3,Healthcare Representative,1,Married,9985,9262,No,1,10,1,2,0,0.0,907.7272727272727,0
45,0,Travel_Rarely,549,Research & Development,8,Other,4,75,3,Research Scientist,4,Married,3697,9278,No,2,12,3,3,9,0.75,284.38461538461536,36
40,0,Travel_Rarely,1124,Sales,1,Medical,2,57,1,Sales Executive,4,Married,7457,13273,Yes,3,6,2,2,3,0.5,1065.2857142857142,12
29,1,Travel_Rarely,318,Research & Development,8,Other,2,77,1,Laboratory Technician,1,Married,2119,4759,Yes,0,7,4,2,7,1.0,264.875,7
29,0,Travel_Rarely,738,Research & Development,9,Other,2,30,2,Laboratory Technician,4,Single,3983,7621,No,0,4,2,3,2,0.5,796.6,8
30,0,Travel_Rarely,570,Sales,5,Marketing,4,30,2,Sales Executive,3,Divorced,6118,5431,No,3,10,2,3,9,0.9,556.1818181818181,27
27,0,Travel_Rarely,1130,Sales,8,Marketing,2,56,3,Sales Executive,2,Married,6214,3415,No,1,8,3,3,7,0.875,690.4444444444445,14
37,0,Travel_Rarely,1192,Research & Development,5,Medical,4,61,3,Manufacturing Director,4,Divorced,6347,23177,No,2,8,2,2,2,0.25,705.2222222222222,8
38,0,Travel_Rarely,343,Research & Development,15,Life Sciences,3,92,2,Research Director,4,Divorced,11510,15682,Yes,1,12,3,3,10,0.8333333333333334,885.3846153846154,40
31,0,Travel_Rarely,1232,Research & Development,7,Medical,3,39,3,Manufacturing Director,4,Single,7143,25713,Yes,0,11,2,2,9,0.8181818181818182,595.25,36
29,0,Travel_Rarely,144,Sales,10,Marketing,4,39,2,Sales Executive,2,Divorced,8268,11866,Yes,2,7,2,3,7,1.0,1033.5,14
35,0,Travel_Rarely,1296,Research & Development,5,Technical Degree,3,62,3,Manufacturing Director,2,Single,8095,18264,No,0,17,5,3,6,0.35294117647058826,449.72222222222223,12
23,0,Travel_Rarely,1309,Research & Development,26,Life Sciences,3,83,3,Research Scientist,4,Divorced,2904,16092,No,2,4,2,2,2,0.5,580.8,8
41,0,Travel_Rarely,483,Research & Development,6,Medical,4,95,2,Manufacturing Director,2,Single,6032,10110,Yes,0,8,3,3,4,0.5,670.2222222222222,8
47,0,Travel_Frequently,1309,Sales,4,Medical,2,99,3,Sales Representative,3,Single,2976,25751,No,0,5,3,3,0,0.0,496.0,0
42,0,Travel_Rarely,810,Research & Development,23,Life Sciences,1,44,3,Research Director,4,Single,15992,15901,No,0,16,2,3,0,0.0,940.7058823529412,0
29,0,Non-Travel,746,Sales,2,Life Sciences,4,61,3,Sales Executive,3,Married,4649,16928,No,1,4,3,2,3,0.75,929.8,9
42,0,Travel_Rarely,544,Human Resources,2,Technical Degree,3,52,3,Human Resources,3,Divorced,2696,24017,Yes,1,4,5,3,2,0.5,539.2,6
32,0,Travel_Rarely,1062,Research & Development,2,Medical,3,75,3,Laboratory Technician,2,Married,2370,3956,No,1,8,4,3,0,0.0,263.3333333333333,0
48,0,Travel_Rarely,530,Sales,29,Medical,1,91,3,Manager,3,Married,12504,23978,No,1,15,3,1,0,0.0,781.5,0
37,0,Travel_Rarely,1319,Research & Development,6,Medical,3,51,4,Research Scientist,1,Divorced,5974,17001,Yes,2,13,2,3,7,0.5384615384615384,426.7142857142857,7
30,0,Non-Travel,641,Sales,25,Technical Degree,4,85,3,Sales Executive,3,Married,4736,6069,Yes,1,4,2,4,2,0.5,947.2,6
26,0,Travel_Rarely,933,Sales,1,Life Sciences,3,57,3,Sales Executive,3,Married,5296,20156,No,1,8,3,3,7,0.875,588.4444444444445,21
42,0,Travel_Rarely,1332,Research & Development,2,Other,1,98,2,Healthcare Representative,4,Single,6781,17078,No,0,14,6,3,0,0.0,452.06666666666666,0
21,1,Travel_Frequently,756,Sales,1,Technical Degree,1,99,2,Sales Representative,2,Single,2174,9150,Yes,0,3,3,3,2,0.6666666666666666,543.5,4
36,0,Non-Travel,845,Sales,1,Medical,4,45,3,Sales Executive,4,Single,6653,15276,No,0,7,6,3,0,0.0,831.625,0
36,0,Travel_Frequently,541,Sales,3,Medical,1,48,2,Sales Executive,4,Married,9699,7246,No,1,16,2,3,9,0.5625,570.5294117647059,36
57,0,Travel_Rarely,593,Research & Development,1,Medical,4,88,3,Healthcare Representative,3,Married,6755,2967,No,0,15,2,3,2,0.13333333333333333,422.1875,6
40,0,Travel_Rarely,1171,Research & Development,10,Life Sciences,4,46,4,Laboratory Technician,3,Married,2213,22495,Yes,1,10,3,3,7,0.7,201.1818181818182,21
21,0,Non-Travel,895,Sales,9,Medical,1,39,3,Sales Representative,4,Single,2610,2851,No,0,3,3,2,2,0.6666666666666666,652.5,8
33,1,Travel_Rarely,350,Sales,5,Marketing,4,34,3,Sales Representative,3,Single,2851,9150,Yes,0,1,2,3,0,0.0,1425.5,0
37,0,Travel_Rarely,921,Research & Development,10,Medical,3,98,3,Laboratory Technician,1,Married,3452,17663,No,1,17,3,3,4,0.23529411764705882,191.77777777777777,4
46,0,Non-Travel,1144,Research & Development,7,Medical,3,30,3,Manufacturing Director,3,Married,5258,16044,No,0,7,2,4,0,0.0,657.25,0
41,1,Travel_Frequently,143,Sales,4,Marketing,1,56,3,Sales Executive,2,Single,9355,9558,No,0,8,5,3,7,0.875,1039.4444444444443,14
50,0,Travel_Rarely,1046,Research & Development,10,Technical Degree,4,100,2,Healthcare Representative,4,Single,10496,2755,No,0,20,2,3,3,0.15,499.8095238095238,12
40,1,Travel_Rarely,575,Sales,22,Marketing,3,68,2,Sales Executive,3,Married,6380,6110,Yes,2,8,6,3,4,0.5,708.8888888888889,12
31,0,Travel_Rarely,408,Research & Development,9,Life Sciences,3,42,2,Research Scientist,2,Single,2657,7551,Yes,0,3,5,3,2,0.6666666666666666,664.25,4
21,1,Travel_Rarely,156,Sales,12,Life Sciences,3,90,4,Sales Representative,2,Single,2716,25422,No,0,1,0,3,0,0.0,1358.0,0
29,0,Travel_Rarely,1283,Research & Development,23,Life Sciences,4,54,3,Research Scientist,4,Single,2201,18168,No,0,6,4,3,2,0.3333333333333333,314.42857142857144,8
35,0,Travel_Rarely,755,Research & Development,9,Life Sciences,3,97,2,Healthcare Representative,2,Single,6540,19394,No,0,10,5,3,1,0.1,594.5454545454545,2
27,0,Travel_Rarely,1469,Research & Development,1,Medical,4,82,3,Laboratory Technician,2,Divorced,3816,17881,No,1,5,2,3,2,0.4,636.0,4
28,0,Travel_Rarely,304,Sales,9,Life Sciences,2,92,3,Sales Executive,4,Single,5253,20750,No,0,7,1,3,5,0.7142857142857143,656.625,20
49,0,Travel_Rarely,1261,Research & Development,7,Other,2,31,2,Healthcare Representative,3,Single,10965,12066,No,0,26,2,3,2,0.07692307692307693,406.1111111111111,6
51,0,Travel_Rarely,1178,Sales,14,Life Sciences,3,87,3,Sales Executive,4,Married,4936,14862,No,1,18,2,2,7,0.3888888888888889,259.7894736842105,28
36,0,Travel_Rarely,329,Research & Development,2,Life Sciences,4,96,3,Research Scientist,3,Married,2543,11868,No,1,6,3,3,2,0.3333333333333333,363.2857142857143,6
34,1,Non-Travel,1362,Sales,19,Marketing,1,67,4,Sales Executive,4,Single,5304,4652,Yes,0,9,3,2,2,0.2222222222222222,530.4,8
55,0,Travel_Rarely,1311,Research & Development,2,Life Sciences,3,97,3,Manager,4,Single,16659,23258,Yes,0,30,2,3,4,0.13333333333333333,537.3870967741935,16
24,0,Travel_Rarely,1371,Sales,10,Marketing,4,77,3,Sales Executive,3,Divorced,4260,5915,Yes,1,5,2,4,2,0.4,710.0,6
30,0,Travel_Rarely,202,Sales,2,Technical Degree,3,72,3,Sales Representative,2,Married,2476,17434,No,1,1,3,3,0,0.0,1238.0,0
26,1,Travel_Frequently,575,Research & Development,3,Technical Degree,3,73,3,Research Scientist,1,Single,3102,6582,No,0,7,2,3,4,0.5714285714285714,387.75,4
22,0,Travel_Rarely,253,Research & Development,11,Medical,1,43,3,Research Scientist,2,Married,2244,24440,No,1,2,1,3,1,0.5,748.0,2
36,0,Travel_Rarely,164,Sales,2,Medical,2,61,2,Sales Executive,3,Married,7596,3809,No,2,10,2,3,9,0.9,690.5454545454545,27
30,1,Travel_Frequently,464,Research & Development,4,Technical Degree,3,40,3,Research Scientist,4,Single,2285,3427,Yes,0,3,4,3,0,0.0,571.25,0
37,0,Travel_Rarely,1107,Research & Development,14,Life Sciences,4,95,3,Laboratory Technician,1,Divorced,3034,26914,No,1,18,2,2,7,0.3888888888888889,159.68421052631578,7
40,0,Travel_Rarely,759,Sales,2,Marketing,4,46,3,Sales Executive,2,Divorced,5715,22553,No,2,8,5,3,4,0.5,635.0,8
42,0,Travel_Rarely,201,Research & Development,1,Life Sciences,2,95,3,Laboratory Technician,1,Divorced,2576,20490,No,1,8,5,3,2,0.25,286.22222222222223,2
37,0,Travel_Rarely,1305,Research & Development,10,Life Sciences,3,49,3,Manufacturing Director,2,Single,4197,21123,Yes,0,18,2,2,0,0.0,220.89473684210526,0
43,0,Travel_Rarely,982,Research & Development,12,Life Sciences,1,59,2,Research Director,2,Divorced,14336,4345,No,1,25,3,3,10,0.4,551.3846153846154,20
40,0,Travel_Rarely,555,Research & Development,2,Medical,2,78,2,Laboratory Technician,3,Married,3448,13436,No,1,20,3,3,0,0.0,164.1904761904762,0
54,0,Travel_Rarely,821,Research & Development,5,Medical,1,86,3,Research Director,1,Married,19406,8509,No,1,24,4,2,2,0.08333333333333333,776.24,2
34,0,Non-Travel,1381,Sales,4,Marketing,3,72,3,Sales Executive,3,Married,6538,12740,No,1,6,3,3,2,0.3333333333333333,934.0,6
31,0,Travel_Rarely,480,Research & Development,7,Medical,2,31,3,Manufacturing Director,1,Married,4306,4156,No,1,13,5,1,10,0.7692307692307693,307.57142857142856,10
43,0,Travel_Frequently,313,Research & Development,21,Medical,4,61,3,Laboratory Technician,4,Married,2258,15238,No,1,8,1,3,2,0.25,250.88888888888889,8
43,0,Travel_Rarely,1473,Research & Development,8,Other,3,74,3,Healthcare Representative,3,Divorced,4522,2227,Yes,0,8,3,3,2,0.25,502.44444444444446,6
25,0,Travel_Rarely,891,Sales,4,Life Sciences,2,99,2,Sales Executive,4,Single,4487,12090,Yes,0,5,3,3,4,0.8,747.8333333333334,16
37,0,Non-Travel,1063,Research & Development,25,Medical,2,72,3,Research Scientist,3,Married,4449,23866,Yes,2,15,2,3,11,0.7333333333333333,278.0625,33
31,0,Travel_Rarely,329,Research & Development,1,Life Sciences,4,98,2,Laboratory Technician,1,Married,2218,16193,No,1,4,3,3,2,0.5,443.6,2
39,0,Travel_Frequently,1218,Research & Development,1,Life Sciences,2,52,3,Manager,3,Divorced,19197,8213,Yes,1,21,3,3,8,0.38095238095238093,872.5909090909091,24
56,0,Travel_Frequently,906,Sales,6,Life Sciences,3,86,4,Sales Executive,1,Married,13212,18256,No,3,36,0,2,7,0.19444444444444445,357.0810810810811,7
30,0,Travel_Rarely,1082,Sales,12,Technical Degree,2,83,3,Sales Executive,3,Single,6577,19558,No,0,6,6,3,4,0.6666666666666666,939.5714285714286,12
41,0,Travel_Rarely,645,Sales,1,Marketing,2,49,4,Sales Executive,1,Married,8392,19566,No,1,10,2,3,7,0.7,762.9090909090909,7
28,0,Travel_Rarely,1300,Research & Development,17,Medical,3,79,3,Laboratory Technician,1,Divorced,4558,13535,No,1,10,2,3,0,0.0,414.3636363636364,0
25,1,Travel_Rarely,688,Research & Development,3,Medical,1,91,3,Laboratory Technician,1,Married,4031,9396,No,1,6,5,3,2,0.3333333333333333,575.8571428571429,2
52,0,Travel_Rarely,319,Research & Development,3,Medical,4,39,2,Manufacturing Director,3,Married,7969,19609,Yes,0,28,4,3,4,0.14285714285714285,274.7931034482759,12
45,0,Travel_Rarely,192,Research & Development,10,Life Sciences,1,69,3,Research Scientist,4,Married,2654,9655,No,2,8,3,2,2,0.25,294.8888888888889,8
52,0,Travel_Rarely,1490,Research & Development,4,Life Sciences,4,30,3,Manager,4,Married,16555,10310,No,0,31,2,1,2,0.06451612903225806,517.34375,8
42,0,Travel_Frequently,532,Research & Development,29,Life Sciences,1,92,3,Research Scientist,3,Divorced,4556,12932,No,1,19,3,3,4,0.21052631578947367,227.8,12
30,0,Travel_Rarely,317,Research & Development,2,Life Sciences,3,43,1,Manufacturing Director,4,Single,6091,24793,No,0,11,2,3,4,0.36363636363636365,507.5833333333333,16
60,0,Travel_Rarely,422,Research & Development,7,Life Sciences,1,41,3,Manager,1,Married,19566,3854,No,0,33,5,1,8,0.24242424242424243,575.4705882352941,8
46,0,Travel_Rarely,1485,Research & Development,18,Medical,3,87,3,Manufacturing Director,3,Divorced,4810,26314,No,1,19,5,2,7,0.3684210526315789,240.5,21
42,0,Travel_Frequently,1368,Research & Development,28,Technical Degree,4,88,2,Healthcare Representative,4,Married,4523,4386,No,3,7,4,4,5,0.7142857142857143,565.375,20
24,1,Travel_Rarely,1448,Sales,1,Technical Degree,1,62,3,Sales Representative,2,Single,3202,21972,Yes,0,6,4,3,3,0.5,457.42857142857144,6
34,1,Travel_Frequently,296,Sales,6,Marketing,4,33,1,Sales Representative,3,Divorced,2351,12253,No,1,3,3,2,2,0.6666666666666666,587.75,6
38,0,Travel_Frequently,1490,Research & Development,2,Life Sciences,4,42,3,Laboratory Technician,4,Married,1702,12106,Yes,1,1,3,3,0,0.0,851.0,0
40,0,Travel_Rarely,1398,Sales,2,Life Sciences,3,79,3,Manager,3,Married,18041,13022,No,0,21,2,3,15,0.7142857142857143,820.0454545454545,45
26,0,Travel_Rarely,1349,Research & Development,23,Life Sciences,1,90,3,Research Scientist,4,Divorced,2886,3032,No,2,3,3,1,2,0.6666666666666666,721.5,8
30,0,Non-Travel,1400,Research & Development,3,Life Sciences,3,53,3,Laboratory Technician,4,Married,2097,16734,No,1,9,3,1,3,0.3333333333333333,209.7,12
29,0,Travel_Rarely,986,Research & Development,3,Medical,2,93,2,Research Director,3,Married,11935,21526,No,0,10,2,3,2,0.2,1085.0,6
29,1,Travel_Rarely,408,Research & Development,25,Technical Degree,3,71,2,Research Scientist,2,Married,2546,18300,No,0,6,2,4,2,0.3333333333333333,363.7142857142857,4
19,1,Travel_Rarely,489,Human Resources,2,Technical Degree,1,52,2,Human Resources,4,Single,2564,18437,No,0,1,3,4,0,0.0,1282.0,0
30,0,Non-Travel,1398,Sales,22,Other,3,69,3,Sales Executive,1,Married,8412,2890,No,0,10,3,3,8,0.8,764.7272727272727,8
57,0,Travel_Rarely,210,Sales,29,Marketing,1,56,2,Manager,4,Divorced,14118,22102,No,1,32,3,2,0,0.0,427.8181818181818,0
50,0,Travel_Rarely,1099,Research & Development,29,Life Sciences,2,88,2,Manager,3,Married,17046,9314,No,1,28,2,3,10,0.35714285714285715,587.7931034482758,30
30,0,Non-Travel,1116,Research & Development,2,Medical,3,49,3,Laboratory Technician,4,Single,2564,7181,No,0,12,2,2,7,0.5833333333333334,197.23076923076923,28
60,0,Travel_Frequently,1499,Sales,28,Marketing,3,80,2,Sales Executive,1,Married,10266,2845,No,0,22,5,4,13,0.5909090909090909,446.3478260869565,13
47,0,Travel_Rarely,983,Research & Development,2,Medical,1,65,3,Manufacturing Director,4,Divorced,5070,7389,No,3,20,2,3,0,0.0,241.42857142857142,0
46,0,Travel_Rarely,1009,Research & Development,2,Life Sciences,1,51,3,Research Director,3,Married,17861,2288,No,0,26,2,1,2,0.07692307692307693,661.5185185185185,6
35,0,Travel_Rarely,144,Research & Development,22,Life Sciences,4,46,1,Laboratory Technician,3,Single,4230,19225,No,0,6,2,3,4,0.6666666666666666,604.2857142857143,12
54,0,Travel_Rarely,548,Research & Development,8,Life Sciences,3,42,3,Laboratory Technician,3,Single,3780,23428,No,0,19,3,3,0,0.0,189.0,0
34,0,Travel_Rarely,1303,Research & Development,2,Life Sciences,4,62,2,Research Scientist,3,Divorced,2768,8416,No,1,14,3,3,3,0.21428571428571427,184.53333333333333,9
46,0,Travel_Rarely,1125,Sales,10,Marketing,3,94,2,Sales Executive,4,Married,9071,11563,Yes,1,15,3,3,2,0.13333333333333333,566.9375,8
31,0,Travel_Rarely,1274,Research & Development,9,Life Sciences,3,33,3,Manufacturing Director,2,Divorced,10648,14394,No,1,13,6,4,8,0.6153846153846154,760.5714285714286,16
33,1,Travel_Rarely,1277,Research & Development,15,Medical,2,56,3,Manager,3,Married,13610,24619,Yes,0,15,2,4,6,0.4,850.625,18
33,1,Travel_Rarely,587,Research & Development,10,Medical,1,38,1,Laboratory Technician,4,Divorced,3408,6705,No,3,8,2,3,3,0.375,378.6666666666667,12
30,0,Travel_Rarely,413,Sales,7,Marketing,4,57,3,Sales Representative,2,Single,2983,18398,No,0,4,3,3,2,0.5,596.6,4
35,0,Travel_Rarely,1276,Research & Development,16,Life Sciences,4,72,3,Healthcare Representative,3,Married,7632,14295,Yes,0,10,2,3,7,0.7,693.8181818181819,21
31,1,Travel_Frequently,534,Research & Development,20,Life Sciences,1,66,3,Healthcare Representative,3,Married,9824,22908,No,0,12,2,3,0,0.0,755.6923076923077,0
34,1,Travel_Frequently,988,Human Resources,23,Human Resources,2,43,3,Human Resources,1,Divorced,9950,11533,Yes,3,11,2,3,2,0.18181818181818182,829.1666666666666,2
42,0,Travel_Frequently,1474,Research & Development,5,Other,2,97,3,Laboratory Technician,3,Married,2093,9260,No,1,8,4,3,2,0.25,232.55555555555554,6
36,0,Non-Travel,635,Sales,10,Medical,2,32,3,Sales Executive,4,Single,9980,15318,No,0,10,3,2,3,0.3,907.2727272727273,12
22,1,Travel_Frequently,1368,Research & Development,4,Technical Degree,3,99,2,Laboratory Technician,3,Single,3894,9129,No,0,4,3,3,2,0.5,778.8,6
48,0,Travel_Rarely,163,Sales,2,Marketing,2,37,3,Sales Executive,4,Married,4051,19658,No,1,14,2,3,7,0.5,270.06666666666666,28
55,0,Travel_Rarely,1117,Sales,18,Life Sciences,1,83,3,Manager,2,Single,16835,9873,No,0,37,2,3,9,0.24324324324324326,443.0263157894737,18
41,0,Non-Travel,267,Sales,10,Life Sciences,4,56,3,Sales Executive,4,Single,6230,13430,No,0,16,3,3,3,0.1875,366.47058823529414,12
35,0,Travel_Rarely,619,Sales,1,Marketing,2,85,3,Sales Executive,3,Married,4717,18659,No,0,15,2,3,9,0.6,294.8125,27
40,0,Travel_Rarely,302,Research & Development,6,Life Sciences,2,75,3,Manufacturing Director,3,Single,13237,20364,No,0,22,3,3,6,0.2727272727272727,575.5217391304348,18
39,0,Travel_Frequently,443,Research & Development,8,Life Sciences,3,48,3,Laboratory Technician,3,Married,3755,17872,No,1,8,3,3,3,0.375,417.22222222222223,9
31,0,Travel_Rarely,828,Sales,2,Life Sciences,2,77,3,Sales Executive,4,Single,6582,8346,Yes,0,10,2,4,5,0.5,598.3636363636364,20
42,0,Travel_Rarely,319,Research & Development,24,Medical,4,56,3,Manufacturing Director,1,Married,7406,6950,Yes,1,10,5,2,9,0.9,673.2727272727273,9
45,0,Travel_Rarely,561,Sales,2,Other,4,61,3,Sales Executive,2,Married,4805,16177,No,1,9,3,4,7,0.7777777777777778,480.5,14
26,1,Travel_Frequently,426,Human Resources,17,Life Sciences,2,58,3,Human Resources,3,Divorced,2741,22808,Yes,1,8,2,2,7,0.875,304.55555555555554,21
29,0,Travel_Rarely,232,Research & Development,19,Technical Degree,4,34,3,Manufacturing Director,4,Divorced,4262,22645,No,2,8,2,4,2,0.25,473.55555555555554,8
33,0,Travel_Rarely,922,Research & Development,1,Medical,1,95,4,Research Director,3,Divorced,16184,22578,No,1,10,2,3,1,0.1,1471.2727272727273,3
31,0,Travel_Rarely,688,Sales,7,Life Sciences,3,44,2,Manager,4,Divorced,11557,25291,No,1,10,3,2,4,0.4,1050.6363636363637,16
18,1,Travel_Frequently,1306,Sales,5,Marketing,2,69,3,Sales Representative,2,Single,1878,8059,Yes,0,0,3,3,0,0.0,1878.0,0
40,0,Non-Travel,1094,Sales,28,Other,3,58,1,Sales Executive,1,Divorced,10932,11373,No,1,20,2,3,0,0.0,520.5714285714286,0
41,0,Non-Travel,509,Research & Development,2,Other,1,62,2,Healthcare Representative,3,Single,6811,2112,Yes,0,10,3,3,7,0.7,619.1818181818181,21
26,0,Travel_Rarely,775,Sales,29,Medical,1,45,3,Sales Executive,3,Divorced,4306,4267,No,2,8,5,3,0,0.0,478.44444444444446,0
35,0,Travel_Rarely,195,Sales,1,Medical,1,80,3,Sales Executive,3,Single,4859,6698,No,0,5,3,3,4,0.8,809.8333333333334,12
34,0,Travel_Rarely,258,Sales,21,Life Sciences,4,74,4,Sales Executive,4,Single,5337,19921,No,0,10,3,3,7,0.7,485.1818181818182,28
26,1,Travel_Rarely,471,Research & Development,24,Technical Degree,3,66,1,Laboratory Technician,4,Single,2340,23213,Yes,0,1,3,1,0,0.0,1170.0,0
37,0,Travel_Rarely,799,Research & Development,1,Technical Degree,2,59,3,Manufacturing Director,4,Single,7491,23848,No,0,12,3,4,5,0.4166666666666667,576.2307692307693,20
46,0,Travel_Frequently,1034,Research & Development,18,Medical,1,86,3,Healthcare Representative,3,Married,10527,8984,No,0,28,3,2,2,0.07142857142857142,363.0,6
41,0,Travel_Rarely,1276,Sales,2,Life Sciences,2,91,3,Manager,1,Married,16595,5626,No,1,22,2,3,16,0.7272727272727273,721.5217391304348,16
37,0,Non-Travel,142,Sales,9,Medical,1,69,3,Sales Executive,2,Divorced,8834,24666,No,1,9,6,3,5,0.5555555555555556,883.4,10
52,0,Travel_Rarely,956,Research & Development,6,Technical Degree,4,78,3,Research Scientist,1,Divorced,5577,22087,Yes,2,18,3,3,9,0.5,293.5263157894737,9
32,1,Non-Travel,1474,Sales,11,Other,4,60,4,Sales Executive,3,Married,4707,23914,No,0,6,2,3,2,0.3333333333333333,672.4285714285714,6
24,0,Travel_Frequently,535,Sales,24,Medical,4,38,3,Sales Representative,4,Married,2400,5530,No,2,3,3,3,2,0.6666666666666666,600.0,8
38,0,Travel_Rarely,1495,Research & Development,10,Medical,3,76,3,Healthcare Representative,3,Married,9824,22174,No,1,18,4,3,0,0.0,517.0526315789474,0
37,0,Travel_Rarely,446,Research & Development,1,Life Sciences,2,65,3,Manufacturing Director,2,Married,6447,15701,No,1,8,2,2,5,0.625,716.3333333333334,10
49,0,Travel_Rarely,1245,Research & Development,18,Life Sciences,4,58,2,Research Director,3,Divorced,19502,2125,Yes,1,31,5,3,9,0.2903225806451613,609.4375,27
24,0,Travel_Rarely,691,Research & Development,23,Medical,2,89,4,Research Scientist,4,Married,2725,21630,Yes,2,6,3,3,5,0.8333333333333334,389.2857142857143,20
26,0,Travel_Rarely,703,Sales,28,Marketing,1,66,3,Sales Executive,2,Married,6272,7428,No,2,6,5,4,3,0.5,896.0,6
24,0,Travel_Rarely,823,Research & Development,17,Other,4,94,2,Laboratory Technician,2,Married,2127,9100,No,1,1,2,3,0,0.0,1063.5,0
50,0,Travel_Frequently,1246,Human Resources,3,Medical,1,99,3,Manager,2,Married,18200,7999,No,1,32,2,3,5,0.15625,551.5151515151515,10
25,0,Travel_Rarely,622,Sales,13,Medical,2,40,3,Sales Representative,3,Married,2096,26376,No,0,7,1,3,4,0.5714285714285714,262.0,12
24,1,Travel_Frequently,1287,Research & Development,7,Life Sciences,1,55,3,Laboratory Technician,3,Married,2886,14168,Yes,1,6,4,3,3,0.5,412.2857142857143,9
30,1,Travel_Frequently,448,Sales,12,Life Sciences,2,74,2,Sales Representative,1,Married,2033,14470,No,1,1,2,4,0,0.0,1016.5,0
34,0,Travel_Rarely,254,Research & Development,1,Life Sciences,2,83,2,Research Scientist,4,Married,3622,22794,Yes,1,6,3,3,5,0.8333333333333334,517.4285714285714,20
31,1,Travel_Rarely,1365,Sales,13,Medical,2,46,3,Sales Executive,1,Divorced,4233,11512,No,0,9,2,1,1,0.1111111111111111,423.3,1
35,0,Travel_Rarely,538,Research & Development,25,Other,1,54,2,Laboratory Technician,4,Single,3681,14004,No,0,9,3,3,2,0.2222222222222222,368.1,8
31,0,Travel_Rarely,525,Sales,6,Medical,1,66,4,Sales Executive,4,Divorced,5460,6219,No,2,13,4,4,7,0.5384615384615384,390.0,28
27,0,Travel_Rarely,798,Research & Development,6,Medical,1,66,2,Research Scientist,3,Divorced,2187,5013,No,2,6,5,2,3,0.5,312.42857142857144,9
37,0,Travel_Rarely,558,Sales,2,Marketing,4,75,3,Sales Executive,3,Married,9602,3010,Yes,1,17,3,2,0,0.0,533.4444444444445,0
20,0,Travel_Rarely,959,Research & Development,1,Life Sciences,4,83,2,Research Scientist,2,Single,2836,11757,No,0,1,0,4,0,0.0,1418.0,0
42,0,Travel_Rarely,622,Research & Development,2,Life Sciences,3,81,3,Healthcare Representative,4,Married,4089,5718,No,2,10,4,3,2,0.2,371.72727272727275,8
43,0,Travel_Rarely,782,Research & Development,6,Other,2,50,2,Research Director,4,Divorced,16627,2671,Yes,1,21,3,2,0,0.0,755.7727272727273,0
38,0,Travel_Rarely,362,Research & Development,1,Life Sciences,3,43,3,Research Scientist,1,Single,2619,14561,No,0,8,3,2,0,0.0,291.0,0
43,0,Travel_Frequently,1001,Research & Development,9,Medical,4,72,3,Laboratory Technician,3,Divorced,5679,19627,Yes,1,10,3,3,7,0.7,516.2727272727273,21
